id,post_title,tema,bloque_lomloe,edad_recomendada,tiempo_estimado,dificultad,objetivos_raw,instrucciones_raw,descripcion_referencia,contenido_ficha_html,descripcion,status,Nivel Educativo,Curso,Asignatura,Meta Titulo,Meta Descripcion
INF017,Contar hasta 10,Números 1-10,Sentido Numérico,4-5 años,3,Fácil,Contar objetos del 1 al 10|Identificar cantidades|Asociar número con cantidad,Observa cada grupo|Cuenta despacio|Elige el número correcto,Ficha para contar hasta 10. Presenta grupos visuales de objetos del 1 al 10. El niño cuenta y selecciona el número. 10 ejercicios progresivos.,,<p><strong>Contar hasta 10</strong> para <strong>4 años</strong>. Amplia el rango numérico en <strong>Infantil</strong>.</p>,pending,Infantil,4 Años,Matemáticas,Contar hasta 10 | 4 Años (4-5) Infantil Interactiva,"Ficha interactiva con 10 ejercicios para contar del 1 al 10. 4 Años Infantil, nivel fácil. ¡Cuenta hasta 10! Descarga gratis."
INF018,Números 1-5 Completo,Números 1-5,Sentido Numérico,4-5 años,4,Medio,Reconocer números del 1 al 5|Ordenar números|Comparar cantidades pequeñas,Lee cada número|Ordénalos de menor a mayor|Compara las cantidades,"Ficha completa de números 1-5. Incluye reconocimiento, ordenamiento y comparación. 10 ejercicios variados de dificultad media.",,<p>Repaso completo de <strong>números 1-5</strong> para <strong>4 años</strong>. Ficha más avanzada en <strong>Infantil</strong>.</p>,pending,Infantil,4 Años,Matemáticas,Números 1-5 Completo | 4 Años (4-5) Infantil PDF,"Ficha de números 1-5 con 10 ejercicios de reconocimiento y orden. 4 Años Infantil, nivel medio. ¡Domina los primeros números! Descarga PDF."
INF019,Número 4,Números 1-10,Sentido Numérico,4-5 años,2,Fácil,Reconocer el número 4|Contar cuatro objetos|Escribir el 4,Observa el número 4|Cuenta cuatro objetos|Traza el número,"Ficha dedicada al número 4. Reconocimiento visual, conteo de grupos de 4 y trazo del número. 6 ejercicios.",,<p><strong>Número 4</strong> para <strong>4 años</strong>. Aprende el cuatro en <strong>Infantil</strong>.</p>,pending,Infantil,4 Años,Matemáticas,Número 4 | 4 Años (4-5) Infantil Interactiva,"Ficha del número 4 con 6 ejercicios de conteo y trazo. 4 Años Infantil, nivel fácil. ¡Aprende el 4! Descarga gratis."
INF020,Número 5,Números 1-10,Sentido Numérico,4-5 años,2,Fácil,Reconocer el número 5|Contar cinco objetos|Asociar con los dedos de la mano,Mira tus dedos|Cuenta hasta cinco|Busca grupos de 5,Ficha del número 5. Asociación con los dedos de la mano. 6 ejercicios de reconocimiento y conteo.,,<p><strong>Número 5</strong> para <strong>4 años</strong>. Usa tus dedos para contar en <strong>Infantil</strong>.</p>,pending,Infantil,4 Años,Matemáticas,Número 5 | 4 Años (4-5) Infantil PDF,"Ficha del número 5 con 6 ejercicios usando dedos de la mano. 4 Años Infantil, nivel fácil. ¡Cuenta con tus manos! Descarga PDF."
INF021,Triángulo,Formas Geométricas,Sentido Espacial,4-5 años,3,Fácil,Reconocer el triángulo|Contar tres lados|Identificar triángulos en objetos,Mira los tres lados|Cuenta las esquinas|Busca triángulos,Ficha del triángulo. El niño aprende que tiene 3 lados y 3 esquinas. 7 ejercicios de reconocimiento en objetos cotidianos.,,<p><strong>Triángulo</strong> para <strong>4 años</strong>. Nueva forma geométrica en <strong>Infantil</strong>.</p>,pending,Infantil,4 Años,Matemáticas,Triángulo | 4 Años (4-5) Infantil Geometría,"Ficha del triángulo con 7 ejercicios de reconocimiento y conteo de lados. 4 Años Infantil, nivel fácil. ¡Aprende formas! Descarga gratis."
INF022,Series complejas,Series,Sentido Numérico,4-5 años,4,Medio,Completar series de tres elementos|Reconocer patrones complejos|Desarrollar lógica,Observa el patrón|¿Qué sigue?|Completa la serie,Ficha de series con tres elementos (rojo-azul-verde-rojo-azul-verde). Patrones más complejos que en 3 años. 8 ejercicios.,,<p><strong>Series complejas</strong> para <strong>4 años</strong>. Patrones de tres colores en <strong>Infantil</strong>.</p>,pending,Infantil,4 Años,Matemáticas,Series Complejas | 4 Años (4-5) Infantil PDF,"Ficha de series con 8 ejercicios de patrones de 3 elementos. 4 Años Infantil, nivel medio. ¡Completa las series! Descarga PDF."
INF023,Sumas sencillas hasta 5,Sumas y Restas,Sentido Numérico,4-5 años,4,Medio,Sumar dos números pequeños|Comprender adición básica|Resolver sumas visuales,Cuenta el primer grupo|Cuenta el segundo grupo|¿Cuántos hay en total?,"Primera ficha de sumas. Operaciones tipo 2+1, 3+2 con apoyo visual de objetos. 8 ejercicios de iniciación a la suma.",,<p>Primeras <strong>sumas</strong> para <strong>4 años</strong>. Introducción a la adición en <strong>Infantil</strong>.</p>,pending,Infantil,4 Años,Matemáticas,Sumas Sencillas | 4 Años (4-5) Infantil Interactiva,"Ficha de sumas con 8 ejercicios visuales hasta 5. 4 Años Infantil, nivel medio. ¡Primeras sumas! Descarga gratis."
INF024,"Vocales A, E, I",Vocales,Comunicación Verbal,4-5 años,3,Fácil,"Reconocer vocales A, E, I|Diferenciar entre las tres vocales|Identificar sonidos",Mira cada vocal|¿Cuál es?|Señala la correcta,Ficha de repaso de las tres primeras vocales. El niño las diferencia visualmente y por sonido. 8 ejercicios mixtos.,,"<p>Repaso de <strong>vocales A, E, I</strong> para <strong>4 años</strong>. Tres vocales juntas en <strong>Infantil</strong>.</p>",pending,Infantil,4 Años,Lenguaje,Vocales A E I | 4 Años (4-5) Infantil PDF,"Ficha de 3 vocales (A, E, I) con 8 ejercicios de reconocimiento. 4 Años Infantil, nivel fácil. ¡Aprende las vocales! Descarga PDF."
INF025,Lectoescritura - M,Lectoescritura,Comunicación Verbal,4-5 años,3,Fácil,"Reconocer la letra M|Asociar con sonido /m/|Leer sílabas ma, me, mi","Mira la letra M|Di 'mmm'|Lee ma, me, mi","Primera letra consonante. La M con sus sílabas ma, me, mi, mo, mu. 7 ejercicios de reconocimiento y lectura inicial.",,<p>Primera consonante: <strong>letra M</strong> para <strong>4 años</strong>. Inicio de lectoescritura en <strong>Infantil</strong>.</p>,pending,Infantil,4 Años,Lenguaje,Letra M | 4 Años (4-5) Infantil Lectoescritura,"Ficha de la letra M con 7 ejercicios de sílabas ma-me-mi-mo-mu. 4 Años Infantil, nivel fácil. ¡Primera consonante! Descarga gratis."
INF026,Lectoescritura - P,Lectoescritura,Comunicación Verbal,4-5 años,3,Fácil,"Reconocer la letra P|Asociar con sonido /p/|Leer sílabas pa, pe, pi","Observa la letra P|Di 'ppp'|Lee pa, pe, pi","Segunda consonante. La P con sus sílabas pa, pe, pi, po, pu. 7 ejercicios progresivos.",,<p><strong>Letra P</strong> para <strong>4 años</strong>. Segunda consonante en <strong>Infantil</strong>.</p>,pending,Infantil,4 Años,Lenguaje,Letra P | 4 Años (4-5) Infantil PDF,"Ficha de la letra P con 7 ejercicios de sílabas pa-pe-pi-po-pu. 4 Años Infantil, nivel fácil. ¡Segunda consonante! Descarga PDF."
INF027,Trazos oblicuos,Grafomotricidad,Expresión Gráfica,4-5 años,3,Fácil,Realizar trazos oblicuos|Controlar movimiento diagonal|Preparar escritura de letras,Traza desde arriba hacia abajo|Sigue la línea inclinada|Repasa el trazo,"Ficha de trazos diagonales. Preparación para letras como A, V, N. 7 ejercicios de líneas oblicuas.",,<p><strong>Trazos oblicuos</strong> para <strong>4 años</strong>. Grafomotricidad más avanzada en <strong>Infantil</strong>.</p>,pending,Infantil,4 Años,Lenguaje,Trazos Oblicuos | 4 Años (4-5) Infantil Grafomotricidad,"Ficha de grafomotricidad con 7 ejercicios de trazos diagonales. 4 Años Infantil, nivel fácil. ¡Mejora tu trazo! Descarga gratis."
INF028,Colors completo,Colores,Lengua Extranjera,4-5 años,3,Fácil,"Aprender 5 colores en inglés|Red, blue, yellow, green, orange|Nombrar colores",Look at each color|Say the name|Point to the color,"Ficha completa de colores básicos en inglés. Red, blue, yellow, green, orange. 8 ejercicios de reconocimiento.",,<p><strong>5 colores en inglés</strong> para <strong>4 años</strong>. Vocabulario completo de colores en <strong>Infantil</strong>.</p>,pending,Infantil,4 Años,Inglés,Colors Completo | 4 Años (4-5) Infantil Inglés,"Ficha de 5 colores en inglés con 8 ejercicios. 4 Años Infantil, nivel fácil. ¡Learn all colors! Descarga gratis."
INF029,Animals - Cat,Animales,Lengua Extranjera,4-5 años,2,Fácil,Aprender 'cat' en inglés|Reconocer gatos|Imitar sonido del gato,Look at the cat|Say 'meow'|Point to cats,Ficha del gato (cat). Diferentes tipos de gatos. 5 ejercicios de identificación.,,<p><strong>Cat (gato)</strong> en inglés para <strong>4 años</strong>. Segundo animal en <strong>Infantil</strong>.</p>,pending,Infantil,4 Años,Inglés,Animal Cat | 4 Años (4-5) Infantil PDF,"Ficha del animal cat (gato) con 5 ejercicios de reconocimiento. 4 Años Infantil, nivel fácil. ¡Second animal! Descarga PDF."
INF030,Animals - Duck,Animales,Lengua Extranjera,4-5 años,2,Fácil,Aprender 'duck' en inglés|Reconocer patos|Imitar sonido del pato,Look at the duck|Say 'quack quack'|Find the duck,Ficha del pato (duck). El niño reconoce patos en diferentes contextos. 5 ejercicios visuales.,,<p><strong>Duck (pato)</strong> en inglés para <strong>4 años</strong>. Tercer animal en <strong>Infantil</strong>.</p>,pending,Infantil,4 Años,Inglés,Animal Duck | 4 Años (4-5) Infantil Interactiva,"Ficha del pato (duck) con 5 ejercicios de reconocimiento. 4 Años Infantil, nivel fácil. ¡Third animal! Descarga gratis."
INF031,Body Parts - Head,Partes del Cuerpo,Lengua Extranjera,4-5 años,2,Fácil,Aprender 'head' en inglés|Identificar la cabeza|Señalar partes de la cara en inglés,Touch your head|Say 'head'|Point to the head,Primera ficha de partes del cuerpo en inglés. La cabeza (head). 5 ejercicios de identificación.,,<p><strong>Head (cabeza)</strong> en inglés para <strong>4 años</strong>. Partes del cuerpo en <strong>Infantil</strong>.</p>,pending,Infantil,4 Años,Inglés,Body Part Head | 4 Años (4-5) Infantil PDF,"Ficha de body part 'head' (cabeza) con 5 ejercicios. 4 Años Infantil, nivel fácil. ¡Learn body parts! Descarga PDF."
INF032,Los cinco sentidos,Sentidos,Conocimiento del Entorno,4-5 años,4,Medio,"Identificar los 5 sentidos|Vista, oído, olfato, gusto, tacto|Relacionar con órganos",Toca con tu mano|Escucha con tus oídos|Huele con tu nariz,Ficha completa de los cinco sentidos. El niño los identifica y asocia con sus órganos. 10 ejercicios variados.,,<p><strong>Los cinco sentidos</strong> para <strong>4 años</strong>. Aprende cómo percibimos el mundo en <strong>Infantil</strong>.</p>,pending,Infantil,4 Años,Conocimiento del Entorno,Los Cinco Sentidos | 4 Años (4-5) Infantil,"Ficha de los 5 sentidos con 10 ejercicios de reconocimiento. 4 Años Infantil, nivel medio. ¡Descubre tus sentidos! Descarga gratis."
INF033,Animales salvajes,Animales,Conocimiento del Entorno,4-5 años,3,Fácil,"Reconocer animales salvajes|León, elefante, jirafa|Diferenciar de animales domésticos",Mira cada animal|¿Vive en la selva?|Señala los salvajes,"Ficha de animales salvajes: león, elefante, jirafa, cebra. 7 ejercicios de reconocimiento y diferenciación.",,<p><strong>Animales salvajes</strong> para <strong>4 años</strong>. Diferencia animales de casa y selva en <strong>Infantil</strong>.</p>,pending,Infantil,4 Años,Conocimiento del Entorno,Animales Salvajes | 4 Años (4-5) Infantil PDF,"Ficha de animales salvajes con 7 ejercicios de reconocimiento. 4 Años Infantil, nivel fácil. ¡Animales de la selva! Descarga PDF."
INF034,Estaciones - Primavera,Estaciones,Conocimiento del Entorno,4-5 años,3,Fácil,"Reconocer la primavera|Flores, mariposas, clima|Identificar características",Mira las flores|¿Hace frío o calor?|Señala cosas de primavera,"Ficha de la estación de primavera. Características: flores, árboles verdes, mariposas, buen tiempo. 7 ejercicios.",,<p><strong>Primavera</strong> para <strong>4 años</strong>. Aprende las estaciones del año en <strong>Infantil</strong>.</p>,pending,Infantil,4 Años,Conocimiento del Entorno,Primavera | 4 Años (4-5) Infantil Estaciones,"Ficha de la primavera con 7 ejercicios de reconocimiento. 4 Años Infantil, nivel fácil. ¡Aprende las estaciones! Descarga gratis."
INF035,Plantas y flores,Naturaleza,Conocimiento del Entorno,4-5 años,3,Fácil,"Identificar partes de una planta|Raíz, tallo, hojas, flor|Cuidado de plantas",Mira la planta|¿Dónde están las hojas?|¿Qué necesita para crecer?,"Ficha de plantas y flores. Partes de la planta y sus necesidades (agua, sol). 7 ejercicios educativos.",,<p><strong>Plantas y flores</strong> para <strong>4 años</strong>. Aprende sobre la naturaleza en <strong>Infantil</strong>.</p>,pending,Infantil,4 Años,Conocimiento del Entorno,Plantas y Flores | 4 Años (4-5) Infantil PDF,"Ficha de plantas con 7 ejercicios de partes y cuidados. 4 Años Infantil, nivel fácil. ¡Aprende de la naturaleza! Descarga PDF."
INF036,Números hasta 20,Números 1-20,Sentido Numérico,5-6 años,4,Medio,Contar hasta 20|Reconocer números de dos cifras|Ordenar números hasta 20,Cuenta despacio hasta 20|Observa los números|Ordénalos de menor a mayor,Ficha para ampliar hasta el 20. Reconocimiento de números de dos cifras y conteo extendido. 12 ejercicios progresivos.,,<p><strong>Números hasta 20</strong> para <strong>5 años</strong>. Amplia el rango numérico en <strong>Infantil</strong>.</p>,pending,Infantil,5 Años,Matemáticas,Números hasta 20 | 5 Años (5-6) Infantil Interactiva,"Ficha de números hasta 20 con 12 ejercicios de conteo y orden. 5 Años Infantil, nivel medio. ¡Cuenta hasta 20! Descarga gratis."
INF037,Sumas hasta 10,Sumas y Restas,Sentido Numérico,5-6 años,5,Medio,Sumar números hasta 10|Resolver sumas sin apoyo visual|Calcular mentalmente,Lee la suma|Piensa en el resultado|Elige la respuesta correcta,"Ficha de sumas con resultados hasta 10. Tipo 3+4, 5+2, 6+3. Menos apoyo visual para fomentar cálculo mental. 12 ejercicios.",,<p><strong>Sumas hasta 10</strong> para <strong>5 años</strong>. Cálculo más avanzado en <strong>Infantil</strong>.</p>,pending,Infantil,5 Años,Matemáticas,Sumas hasta 10 | 5 Años (5-6) Infantil PDF,"Ficha de sumas con 12 ejercicios hasta 10. 5 Años Infantil, nivel medio. ¡Suma sin ayuda visual! Descarga PDF gratis."
INF038,Restas sencillas,Sumas y Restas,Sentido Numérico,5-6 años,5,Medio,Restar números pequeños|Comprender la resta|Resolver restas hasta 10,Lee la resta|¿Cuántos quedan?|Elige el resultado,"Primera ficha de restas. Operaciones tipo 5-2, 7-3, 10-4. Con apoyo visual mínimo. 10 ejercicios de iniciación.",,<p>Primeras <strong>restas</strong> para <strong>5 años</strong>. Introducción a la resta en <strong>Infantil</strong>.</p>,pending,Infantil,5 Años,Matemáticas,Restas Sencillas | 5 Años (5-6) Infantil Interactiva,"Ficha de restas con 10 ejercicios sencillos hasta 10. 5 Años Infantil, nivel medio. ¡Primeras restas! Descarga gratis."
INF039,Formas y figuras 3D,Formas Geométricas,Sentido Espacial,5-6 años,4,Medio,"Reconocer figuras tridimensionales|Cubo, esfera, cilindro|Diferenciar 2D y 3D",Mira la figura|¿Tiene volumen?|¿Puedes tocarla por todos lados?,"Ficha de geometría 3D. Presenta cubo, esfera, cilindro y los relaciona con objetos cotidianos. 10 ejercicios.",,<p><strong>Figuras 3D</strong> para <strong>5 años</strong>. Geometría tridimensional en <strong>Infantil</strong>.</p>,pending,Infantil,5 Años,Matemáticas,Figuras 3D | 5 Años (5-6) Infantil Geometría,"Ficha de figuras 3D con 10 ejercicios de cubo, esfera y cilindro. 5 Años Infantil, nivel medio. ¡Geometría avanzada! Descarga PDF."
INF040,Derecha e Izquierda,Orientación Espacial,Sentido Espacial,5-6 años,3,Fácil,Identificar derecha e izquierda|Diferenciar lateralidad|Señalar objetos a cada lado,Levanta tu mano derecha|Levanta tu mano izquierda|¿Qué hay a tu derecha?,Ficha de lateralidad. El niño aprende a diferenciar derecha e izquierda. 8 ejercicios con su propio cuerpo y objetos.,,<p><strong>Derecha e izquierda</strong> para <strong>5 años</strong>. Aprende lateralidad en <strong>Infantil</strong>.</p>,pending,Infantil,5 Años,Matemáticas,Derecha e Izquierda | 5 Años (5-6) Infantil PDF,"Ficha de lateralidad con 8 ejercicios de derecha e izquierda. 5 Años Infantil, nivel fácil. ¡Aprende tu orientación! Descarga gratis."
